Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1 raw countings	InSPI2_R2 raw countings	LSP_R1 raw countings	LSP_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_016810.1	Protein Homology	CDS	190	255	.	+	0	ID=cds-WP_001575544.1;Parent=gene-SL1344_RS00005;Dbxref=GenBank:WP_001575544.1;Name=WP_001575544.1;Ontology_term=GO:0009088,GO:0031554,GO:0031556;gbkey=CDS;gene=thrL;go_process=threonine biosynthetic process|0009088||IEA,regulation of termination of DNA-templated transcription|0031554||IEA,transcriptional attenuation by ribosome|0031556||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459006.1;locus_tag=SL1344_RS00005;product=thr operon leader peptide;protein_id=WP_001575544.1;transl_table=11	209.0	128.0	20.0	11.0	57.576603496054	1.66297193238316	0.582932238954443	2.85277056449288	0.00433399002989118	0.0156574483933599
sense	NC_016810.1	Protein Homology	CDS	337	2799	.	+	0	ID=cds-WP_001264681.1;Parent=gene-SL1344_RS00010;Dbxref=GenBank:WP_001264681.1;Name=WP_001264681.1;Ontology_term=GO:0008652,GO:0009067,GO:0004072,GO:0004412,GO:0050661;gbkey=CDS;gene=thrA;go_function=aspartate kinase activity|0004072||IEA,homoserine dehydrogenase activity|0004412||IEA,NADP binding|0050661||IEA;go_process=amino acid biosynthetic process|0008652||IEA,aspartate family amino acid biosynthetic process|0009067||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1;locus_tag=SL1344_RS00010;product=bifunctional aspartate kinase/homoserine dehydrogenase I;protein_id=WP_001264681.1;transl_table=11	80.5	64.0	4.0	0	20.4462293253062	3.31407585006012	0.961156024501155	3.44801027677077	0.000564732549634038	0.00278029276478326
sense	NC_016810.1	Protein Homology	CDS	2801	3730	.	+	0	ID=cds-WP_000241685.1;Parent=gene-SL1344_RS00015;Dbxref=GenBank:WP_000241685.1;Name=WP_000241685.1;Ontology_term=GO:0009088,GO:0004413,GO:0005524;gbkey=CDS;gene=thrB;go_function=homoserine kinase activity|0004413||IEA,ATP binding|0005524||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459008.1;locus_tag=SL1344_RS00015;product=homoserine kinase;protein_id=WP_000241685.1;transl_table=11	77.5	61.75	2.5	0	19.1709730515326	4.10720370503365	1.10872856041799	3.70442672053584	0.000211869343081622	0.00115436226167256
sense	NC_016810.1	Protein Homology	CDS	3734	5020	.	+	0	ID=cds-WP_000781105.1;Parent=gene-SL1344_RS00020;Dbxref=GenBank:WP_000781105.1;Name=WP_000781105.1;Ontology_term=GO:0009088,GO:0004795;gbkey=CDS;gene=thrC;go_function=threonine synthase activity|0004795||IEA;go_process=threonine biosynthetic process|0009088||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459009.1;locus_tag=SL1344_RS00020;product=threonine synthase;protein_id=WP_000781105.1;transl_table=11	121.0	84.5	4.5	2.0	29.4764835042595	3.22691236970616	0.814731100421166	3.96070846938094	7.47277210069813e-05	0.000454720558649234
sense	NC_016810.1	Protein Homology	CDS	5114	5887	.	-	0	ID=cds-WP_000906175.1;Parent=gene-SL1344_RS00025;Dbxref=GenBank:WP_000906175.1;Name=WP_000906175.1;gbkey=CDS;gene=yaaA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459010.1;locus_tag=SL1344_RS00025;product=peroxide stress protein YaaA;protein_id=WP_000906175.1;transl_table=11	23.0	18.5	0.3333333333333333	1.0	5.94705599317786	3.04635405283549	1.45518616404788	2.0934462738166	0.0363093353309179	0.0880313318626184
sense	NC_016810.1	Protein Homology	CDS	5966	7396	.	-	0	ID=cds-WP_001113820.1;Parent=gene-SL1344_RS00030;Dbxref=GenBank:WP_001113820.1;Name=WP_001113820.1;Ontology_term=GO:0006814,GO:0006865,GO:0005283,GO:0015293,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=amino acid:sodium symporter activity|0005283||IEA,symporter activity|0015293||IEA;go_process=sodium ion transport|0006814||IEA,amino acid transport|0006865||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459011.1;locus_tag=SL1344_RS00030;product=alanine/glycine:cation symporter family protein;protein_id=WP_001113820.1;transl_table=11	8.0	14.0	4.0	8.0	8.876526355975	-0.912512777575092	1.00919088837799	-0.904202354662276	0.365888111856987	0.508496716339992
sense	NC_016810.1	Protein Homology	CDS	7665	8618	.	+	0	ID=cds-WP_000130175.1;Parent=gene-SL1344_RS00035;Dbxref=GenBank:WP_000130175.1;Name=WP_000130175.1;Ontology_term=GO:0006098,GO:0004801,GO:0005737;gbkey=CDS;gene=tal;go_component=cytoplasm|0005737||IEA;go_function=transaldolase activity|0004801||IEA;go_process=pentose-phosphate shunt|0006098||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459012.1;locus_tag=SL1344_RS00035;product=transaldolase;protein_id=WP_000130175.1;transl_table=11	126.0	91.5	28.0	12.0	45.699110580642	0.71578186115868	0.590639995126408	1.21187502889216	0.22556022220551	0.354279436418775
sense	NC_016810.1	Protein Homology	CDS	8729	9319	.	+	0	ID=cds-WP_000380372.1;Parent=gene-SL1344_RS00040;Dbxref=GenBank:WP_000380372.1;Name=WP_000380372.1;Ontology_term=GO:0006777;gbkey=CDS;gene=mog;go_process=Mo-molybdopterin cofactor biosynthetic process|0006777||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459013.1;locus_tag=SL1344_RS00040;product=molybdopterin adenylyltransferase;protein_id=WP_000380372.1;transl_table=11	3.0	3.0	7.0	5.0	6.17038730560782	-2.5595534837541	1.1455479958956	-2.23434853268895	0.0254601493138274	0.0666476367355013
sense	NC_016810.1	Protein Homology	CDS	9376	9942	.	-	0	ID=cds-WP_000528527.1;Parent=gene-SL1344_RS00045;Dbxref=GenBank:WP_000528527.1;Name=WP_000528527.1;Ontology_term=GO:0016020;gbkey=CDS;gene=satP;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459014.1;locus_tag=SL1344_RS00045;product=acetate uptake transporter;protein_id=WP_000528527.1;transl_table=11	3.0	2.0	1.0	0	1.02755674984945	0.440834675929604	1.99035265506161	0.221485712498502	0.824714260145987	NA
sense	NC_016810.1	Protein Homology	CDS	10092	10805	.	-	0	ID=cds-WP_001103477.1;Parent=gene-SL1344_RS00050;Dbxref=GenBank:WP_001103477.1;Name=WP_001103477.1;gbkey=CDS;gene=msyB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459015.1;locus_tag=SL1344_RS00050;product=acidic protein MsyB;protein_id=WP_001103477.1;transl_table=11	0.5	0.5	0	0.5	0	NA	NA	NA	NA	NA
